Fecha,Campania,Plataforma,inversion,evento_objetivo,Instalaciones,cvr
2025-01-02,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,58.120000000000005,9,28,0.32142857142857145
2025-01-06,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,97.28,30,98,0.30612244897959184
2025-01-02,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,93.50999999999999,15,90,0.16666666666666666
2025-01-03,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,59.910000000000004,15,30,0.5
2025-01-04,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,93.4,29,72,0.4027777777777778
2025-01-04,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,54.65,13,24,0.5416666666666666
2024-12-29,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,80.89,22,56,0.39285714285714285
2024-12-30,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,84.04,31,70,0.44285714285714284
2025-01-08,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,62,207,0.2995169082125604
2025-01-05,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,54,281,0.19217081850533807
2025-01-04,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,64,271,0.23616236162361623
2025-01-01,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,30,209,0.14354066985645933
2024-12-31,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,40,206,0.1941747572815534
2024-12-29,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(MANUAL)_BROA_REGIST_APP _SPA,TikTok Ads,20.04,2,11,0.18181818181818182
2025-01-06,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,164.63,67,291,0.23024054982817868
2024-12-29,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,150.0,59,194,0.30412371134020616
2025-01-03,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,65,245,0.2653061224489796
2025-01-07,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,58,264,0.2196969696969697
2025-01-02,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,64,287,0.2229965156794425
2025-01-05,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,448.52,165,739,0.2232746955345061
2025-01-02,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,430.05,195,790,0.2468354430379747
2025-01-07,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,446.18,155,550,0.2818181818181818
2024-12-29,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,410.77,173,638,0.2711598746081505
2024-12-30,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,531.89,135,579,0.23316062176165803
2025-01-01,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,544.86,87,556,0.1564748201438849
2025-01-03,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,449.94,164,643,0.25505443234836706
2024-12-31,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,70.46,14,57,0.24561403508771928
2025-01-02,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,13.74,0,0,0.0
