Fecha,Campania,Plataforma,inversion,evento_objetivo,Instalaciones,cvr
2025-03-08,,Meta,0,43,90,0.4777777777777778
2025-03-10,,Meta,0,211,373,0.56568364611260058
2025-03-04,,Meta,0,37,94,0.39361702127659576
2025-03-15,,Meta,0,45,84,0.5357142857142857
2025-03-09,,Meta,0,47,104,0.45192307692307693
2025-03-05,,Meta,0,36,131,0.27480916030534353
2025-03-13,,Meta,0,118,207,0.57004830917874394
2025-03-14,,Meta,0,98,204,0.48039215686274511
2025-03-06,,Meta,0,33,105,0.31428571428571428
2025-03-17,,Meta,0,87,194,0.4484536082474227
2025-03-18,,Meta,0,82,153,0.53594771241830064
2025-03-12,,Meta,0,176,276,0.6376811594202898
2025-03-07,,Meta,0,20,88,0.22727272727272727
2025-03-16,,Meta,0,55,128,0.4296875
2025-03-11,,Meta,0,247,479,0.51565762004175364
2025-03-14,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN)_BROA_ADDT_UAC,Google Ads,140.61000000000001364242052659392356872559,0,3,0.0
2025-03-17,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN)_BROA_ADDT_UAC,Google Ads,144.09999999999999431565811391919851303101,114,256,0.4453125
2025-03-18,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN)_BROA_ADDT_UAC,Google Ads,143.93000000000000682121026329696178436279,143,284,0.50352112676056338
2025-03-15,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN)_BROA_ADDT_UAC,Google Ads,143.2800000000000011368683772161602973938,11,42,0.26190476190476192
2025-03-16,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN)_BROA_ADDT_UAC,Google Ads,143.63999999999998635757947340607643127441,75,182,0.41208791208791207
2025-03-18,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN-INS)_BROA_INSTAL_UAC,Google Ads,143.9099999999999965893948683515191078186,80,244,0.32786885245901637
2025-03-17,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN-INS)_BROA_INSTAL_UAC,Google Ads,143.16999999999998749444785062223672866821,59,243,0.24279835390946503
2025-03-14,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN-INS)_BROA_INSTAL_UAC,Google Ads,139.27000000000001023181539494544267654419,0,1,0.0
2025-03-16,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN-INS)_BROA_INSTAL_UAC,Google Ads,144.1299999999999954525264911353588104248,71,224,0.3169642857142857
2025-03-15,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(CASHIN-INS)_BROA_INSTAL_UAC,Google Ads,143.52000000000001023181539494544267654419,49,179,0.27374301675977653
2025-03-09,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,469,231,666,0.34684684684684686
2025-03-14,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,647.30999999999994543031789362430572509766,606,1167,0.519280205655527
2025-03-18,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,655.23000000000001818989403545856475830078,487,1002,0.48602794411177647
2025-03-08,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(MASTERCARD-PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,450.49000000000000909494701772928237915039,149,486,0.30658436213991769
